"filename", "language", "Python", "HTML", "JavaScript", "PostCSS", "XML", "Markdown", "pip requirements", "comment", "blank", "total"
"d:\repo\Phoenix11\chef\templates\chef\includes\add-meal-item-app\script.html", "HTML", 0, 57, 0, 0, 0, 0, 0, 0, 4, 61
"d:\repo\Phoenix11\chef\templates\chef\includes\add-meal-item-app\template.html", "HTML", 0, 113, 0, 0, 0, 0, 0, 0, 15, 128
"d:\repo\Phoenix11\chef\templates\chef\includes\food-items-app\script.html", "HTML", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"d:\repo\Phoenix11\chef\templates\chef\includes\food-items-app\template.html", "HTML", 0, 105, 0, 0, 0, 0, 0, 0, 8, 113
"d:\repo\Phoenix11\chef\templates\chef\includes\foods-app\script.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\repo\Phoenix11\chef\templates\chef\includes\foods-app\template.html", "HTML", 0, 78, 0, 0, 0, 0, 0, 0, 9, 87
"d:\repo\Phoenix11\chef\templates\chef\includes\meal-items-app\script.html", "HTML", 0, 25, 0, 0, 0, 0, 0, 0, 2, 27
"d:\repo\Phoenix11\chef\templates\chef\includes\meal-items-app\template.html", "HTML", 0, 113, 0, 0, 0, 0, 0, 0, 29, 142
"d:\repo\Phoenix11\chef\templates\chef\includes\meals-app\script.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\repo\Phoenix11\chef\templates\chef\includes\meals-app\template.html", "HTML", 0, 101, 0, 0, 0, 0, 0, 0, 11, 112
"d:\repo\Phoenix11\chef\templates\chef\includes\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\chef\templates\chef\includes\report-app\script.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\repo\Phoenix11\chef\templates\chef\includes\report-app\template.html", "HTML", 0, 62, 0, 0, 0, 0, 0, 0, 13, 75
"d:\repo\Phoenix11\chef\templates\chef\index.html", "HTML", 0, 57, 0, 0, 0, 0, 0, 0, 4, 61
"d:\repo\Phoenix11\chef\templates\chef\layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\repo\Phoenix11\chef\templates\chef\meal-item.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 0, 8, 52
"d:\repo\Phoenix11\chef\templates\chef\meal.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 0, 10, 42
"d:\repo\Phoenix11\chef\templates\chef\meals.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"d:\repo\Phoenix11\chef\templates\chef\report.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\repo\Phoenix11\chef\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\repo\Phoenix11\chef\urls.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\repo\Phoenix11\chef\views.py", "Python", 121, 0, 0, 0, 0, 0, 0, 9, 32, 162
"d:\repo\Phoenix11\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\core\admin.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\repo\Phoenix11\core\apis.py", "Python", 95, 0, 0, 0, 0, 0, 0, 2, 8, 105
"d:\repo\Phoenix11\core\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\repo\Phoenix11\core\enums.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"d:\repo\Phoenix11\core\forms.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\repo\Phoenix11\core\migrations\0001_initial.py", "Python", 65, 0, 0, 0, 0, 0, 0, 1, 7, 73
"d:\repo\Phoenix11\core\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\core\models.py", "Python", 44, 0, 0, 0, 0, 0, 0, 135, 6, 185
"d:\repo\Phoenix11\core\repo.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 18, 117
"d:\repo\Phoenix11\core\serializers.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\repo\Phoenix11\core\templates\core\includes\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\core\templates\core\includes\page-app\card-contents.html", "HTML", 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"d:\repo\Phoenix11\core\templates\core\includes\page-app\card.html", "HTML", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\repo\Phoenix11\core\templates\core\includes\page-app\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\core\templates\core\includes\page-app\script.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\repo\Phoenix11\core\templates\core\includes\page-app\thumbnail-card.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\core\templates\core\includes\page-description-app\description.html", "HTML", 0, 26, 0, 0, 0, 0, 0, 2, 2, 30
"d:\repo\Phoenix11\core\templates\core\includes\page-description-app\short-description.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 2, 2, 38
"d:\repo\Phoenix11\core\templates\core\includes\page-priority-app\script.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 34
"d:\repo\Phoenix11\core\templates\core\includes\page-priority-app\template.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 6, 21
"d:\repo\Phoenix11\core\templates\core\includes\page-related-app\form.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"d:\repo\Phoenix11\core\templates\core\includes\page-related-app\script.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"d:\repo\Phoenix11\core\templates\core\includes\page-related-app\template.html", "HTML", 0, 46, 0, 0, 0, 0, 0, 0, 12, 58
"d:\repo\Phoenix11\core\templates\core\includes\page-thumbnail-header-app\script.html", "HTML", 0, 76, 0, 0, 0, 0, 0, 0, 5, 81
"d:\repo\Phoenix11\core\templates\core\includes\page-thumbnail-header-app\template.html", "HTML", 0, 121, 0, 0, 0, 0, 0, 0, 3, 124
"d:\repo\Phoenix11\core\templates\core\includes\pages-app\script.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"d:\repo\Phoenix11\core\templates\core\includes\pages-app\template.html", "HTML", 0, 68, 0, 0, 0, 0, 0, 0, 13, 81
"d:\repo\Phoenix11\core\templates\core\index.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 6, 29
"d:\repo\Phoenix11\core\templates\core\layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\repo\Phoenix11\core\templates\core\page.html", "HTML", 0, 48, 0, 0, 0, 0, 0, 0, 33, 81
"d:\repo\Phoenix11\core\templates\core\search.html", "HTML", 0, 41, 0, 0, 0, 0, 0, 0, 17, 58
"d:\repo\Phoenix11\core\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\repo\Phoenix11\core\urls.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\repo\Phoenix11\core\views.py", "Python", 130, 0, 0, 0, 0, 0, 0, 5, 27, 162
"d:\repo\Phoenix11\health\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\health\admin.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\repo\Phoenix11\health\apis.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\repo\Phoenix11\health\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\repo\Phoenix11\health\enums.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\health\forms.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\repo\Phoenix11\health\migrations\0001_initial.py", "Python", 21, 0, 0, 0, 0, 0, 0, 1, 7, 29
"d:\repo\Phoenix11\health\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\health\models.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\repo\Phoenix11\health\repo.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 16, 81
"d:\repo\Phoenix11\health\serializers.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\repo\Phoenix11\health\templates\health\drug.html", "HTML", 0, 52, 0, 0, 0, 0, 0, 0, 8, 60
"d:\repo\Phoenix11\health\templates\health\drugs.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 9, 30
"d:\repo\Phoenix11\health\templates\health\includes\add-drug-app\script.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 0, 4, 47
"d:\repo\Phoenix11\health\templates\health\includes\add-drug-app\template.html", "HTML", 0, 92, 0, 0, 0, 0, 0, 0, 3, 95
"d:\repo\Phoenix11\health\templates\health\includes\drugs-app\script.html", "HTML", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"d:\repo\Phoenix11\health\templates\health\includes\drugs-app\template.html", "HTML", 0, 105, 0, 0, 0, 0, 0, 0, 8, 113
"d:\repo\Phoenix11\health\templates\health\includes\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\health\templates\health\index.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\repo\Phoenix11\health\templates\health\layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\repo\Phoenix11\health\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\repo\Phoenix11\health\urls.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\repo\Phoenix11\health\views.py", "Python", 48, 0, 0, 0, 0, 0, 0, 3, 17, 68
"d:\repo\Phoenix11\log\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\log\admin.py", "Python", 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\repo\Phoenix11\log\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\repo\Phoenix11\log\migrations\0001_initial.py", "Python", 25, 0, 0, 0, 0, 0, 0, 1, 7, 33
"d:\repo\Phoenix11\log\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\log\models.py", "Python", 26, 0, 0, 0, 0, 0, 0, 9, 7, 42
"d:\repo\Phoenix11\log\repo.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"d:\repo\Phoenix11\log\templates\log\includes\logs-app\script.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\log\templates\log\includes\logs-app\template.html", "HTML", 0, 76, 0, 0, 0, 0, 0, 0, 15, 91
"d:\repo\Phoenix11\log\templates\log\includes\navbar.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\log\templates\log\index.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 20, 43
"d:\repo\Phoenix11\log\templates\log\layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\repo\Phoenix11\log\templates\log\log.html", "HTML", 0, 45, 0, 0, 0, 0, 0, 0, 15, 60
"d:\repo\Phoenix11\log\templates\log\logs.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 0, 12, 28
"d:\repo\Phoenix11\log\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\repo\Phoenix11\log\urls.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\repo\Phoenix11\log\views.py", "Python", 27, 0, 0, 0, 0, 0, 0, 3, 3, 33
"d:\repo\Phoenix11\manage.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 5, 23
"d:\repo\Phoenix11\market\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\market\admin.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\repo\Phoenix11\market\apis.py", "Python", 118, 0, 0, 0, 0, 0, 0, 0, 16, 134
"d:\repo\Phoenix11\market\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\repo\Phoenix11\market\enums.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\repo\Phoenix11\market\forms.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 14, 51
"d:\repo\Phoenix11\market\migrations\0001_initial.py", "Python", 137, 0, 0, 0, 0, 0, 0, 1, 7, 145
"d:\repo\Phoenix11\market\migrations\0002_alter_shop_unit_name.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"d:\repo\Phoenix11\market\migrations\0003_alter_shop_unit_name_shoppackage.py", "Python", 33, 0, 0, 0, 0, 0, 0, 1, 6, 40
"d:\repo\Phoenix11\market\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\market\models.py", "Python", 146, 0, 0, 0, 0, 0, 0, 1, 55, 202
"d:\repo\Phoenix11\market\repo.py", "Python", 606, 0, 0, 0, 0, 0, 0, 20, 118, 744
"d:\repo\Phoenix11\market\serializers.py", "Python", 54, 0, 0, 0, 0, 0, 0, 0, 31, 85
"d:\repo\Phoenix11\market\templates\market\cart-items.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 10, 23
"d:\repo\Phoenix11\market\templates\market\cart.html", "HTML", 0, 53, 0, 0, 0, 0, 0, 0, 13, 66
"d:\repo\Phoenix11\market\templates\market\category.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 22, 56
"d:\repo\Phoenix11\market\templates\market\customer.html", "HTML", 0, 46, 0, 0, 0, 0, 0, 0, 10, 56
"d:\repo\Phoenix11\market\templates\market\customers.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 11, 32
"d:\repo\Phoenix11\market\templates\market\desk-menu.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"d:\repo\Phoenix11\market\templates\market\desk.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"d:\repo\Phoenix11\market\templates\market\desks.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"d:\repo\Phoenix11\market\templates\market\includes\add-customer-app\script.html", "HTML", 0, 67, 0, 0, 0, 0, 0, 0, 11, 78
"d:\repo\Phoenix11\market\templates\market\includes\add-customer-app\template.html", "HTML", 0, 120, 0, 0, 0, 0, 0, 0, 2, 122
"d:\repo\Phoenix11\market\templates\market\includes\add-menu-app\script.html", "HTML", 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"d:\repo\Phoenix11\market\templates\market\includes\add-menu-app\template.html", "HTML", 0, 81, 0, 0, 0, 0, 0, 0, 12, 93
"d:\repo\Phoenix11\market\templates\market\includes\add-shop-app\script.html", "HTML", 0, 63, 0, 0, 0, 0, 0, 0, 8, 71
"d:\repo\Phoenix11\market\templates\market\includes\add-shop-app\template.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 25, 94
"d:\repo\Phoenix11\market\templates\market\includes\add-supplier-app\script.html", "HTML", 0, 67, 0, 0, 0, 0, 0, 0, 11, 78
"d:\repo\Phoenix11\market\templates\market\includes\add-supplier-app\template.html", "HTML", 0, 120, 0, 0, 0, 0, 0, 0, 1, 121
"d:\repo\Phoenix11\market\templates\market\includes\add-to-cart-app\script.html", "HTML", 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"d:\repo\Phoenix11\market\templates\market\includes\add-to-cart-app\template.html", "HTML", 0, 37, 0, 0, 0, 0, 0, 0, 6, 43
"d:\repo\Phoenix11\market\templates\market\includes\cart-items-app\navbar-script.html", "HTML", 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\repo\Phoenix11\market\templates\market\includes\cart-items-app\navbar-template.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"d:\repo\Phoenix11\market\templates\market\includes\cart-items-app\script.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\repo\Phoenix11\market\templates\market\includes\cart-items-app\template.html", "HTML", 0, 91, 0, 0, 0, 0, 0, 0, 25, 116
"d:\repo\Phoenix11\market\templates\market\includes\categories-app\script.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\repo\Phoenix11\market\templates\market\includes\categories-app\template.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"d:\repo\Phoenix11\market\templates\market\includes\customer-app\navbar.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 8, 30
"d:\repo\Phoenix11\market\templates\market\includes\customers-app\script.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"d:\repo\Phoenix11\market\templates\market\includes\customers-app\template.html", "HTML", 0, 80, 0, 0, 0, 0, 0, 0, 18, 98
"d:\repo\Phoenix11\market\templates\market\includes\desk-menu-app\component.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\repo\Phoenix11\market\templates\market\includes\desk-menu-app\script.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 0, 5, 56
"d:\repo\Phoenix11\market\templates\market\includes\desk-menu-app\template.html", "HTML", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"d:\repo\Phoenix11\market\templates\market\includes\desks-app\script.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\repo\Phoenix11\market\templates\market\includes\desks-app\template.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"d:\repo\Phoenix11\market\templates\market\includes\menus-app\script.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\repo\Phoenix11\market\templates\market\includes\menus-app\template.html", "HTML", 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"d:\repo\Phoenix11\market\templates\market\includes\navbar.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\repo\Phoenix11\market\templates\market\includes\product-app\card-contents.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"d:\repo\Phoenix11\market\templates\market\includes\product-app\card.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"d:\repo\Phoenix11\market\templates\market\includes\product-app\main-shop.html", "HTML", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\repo\Phoenix11\market\templates\market\includes\product-app\main.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"d:\repo\Phoenix11\market\templates\market\includes\product-app\navbar.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\repo\Phoenix11\market\templates\market\includes\product-app\relateds.html", "HTML", 0, 28, 0, 0, 0, 0, 0, 0, 10, 38
"d:\repo\Phoenix11\market\templates\market\includes\product-app\script.html", "HTML", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\repo\Phoenix11\market\templates\market\includes\product-shops-app\script.html", "HTML", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"d:\repo\Phoenix11\market\templates\market\includes\product-shops-app\template.html", "HTML", 0, 61, 0, 0, 0, 0, 0, 0, 26, 87
"d:\repo\Phoenix11\market\templates\market\includes\products-app\script.html", "HTML", 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"d:\repo\Phoenix11\market\templates\market\includes\products-app\template.html", "HTML", 0, 37, 0, 0, 0, 0, 0, 0, 16, 53
"d:\repo\Phoenix11\market\templates\market\includes\shop-packages-app\script.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\repo\Phoenix11\market\templates\market\includes\shop-packages-app\template.html", "HTML", 0, 110, 0, 0, 0, 0, 0, 0, 12, 122
"d:\repo\Phoenix11\market\templates\market\includes\shops-app\script.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"d:\repo\Phoenix11\market\templates\market\includes\shops-app\template.html", "HTML", 0, 123, 0, 0, 0, 0, 0, 0, 40, 163
"d:\repo\Phoenix11\market\templates\market\includes\supplier-app\navbar.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 9, 26
"d:\repo\Phoenix11\market\templates\market\includes\suppliers-app\script.html", "HTML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\repo\Phoenix11\market\templates\market\includes\suppliers-app\template.html", "HTML", 0, 48, 0, 0, 0, 0, 0, 0, 13, 61
"d:\repo\Phoenix11\market\templates\market\index.html", "HTML", 0, 77, 0, 0, 0, 0, 0, 0, 25, 102
"d:\repo\Phoenix11\market\templates\market\layout.html", "HTML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\repo\Phoenix11\market\templates\market\menu.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 0, 9, 58
"d:\repo\Phoenix11\market\templates\market\menus.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"d:\repo\Phoenix11\market\templates\market\product.html", "HTML", 0, 49, 0, 0, 0, 0, 0, 0, 7, 56
"d:\repo\Phoenix11\market\templates\market\products.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 11, 24
"d:\repo\Phoenix11\market\templates\market\shop-package.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 10, 23
"d:\repo\Phoenix11\market\templates\market\shop-packages.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 10, 23
"d:\repo\Phoenix11\market\templates\market\shop.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\market\templates\market\shops.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 10, 23
"d:\repo\Phoenix11\market\templates\market\supplier.html", "HTML", 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"d:\repo\Phoenix11\market\templates\market\suppliers.html", "HTML", 0, 21, 0, 0, 0, 0, 0, 0, 12, 33
"d:\repo\Phoenix11\market\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\repo\Phoenix11\market\urls.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"d:\repo\Phoenix11\market\views.py", "Python", 238, 0, 0, 0, 0, 0, 0, 2, 79, 319
"d:\repo\Phoenix11\messenger\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\repo\Phoenix11\messenger\admin.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
